happiness_score,gdp,family,health,freedom,generosity,corruption,region,year,country,social_wellbeing,positive_factors
4.642,0.92049,1.18468,0.27688,0.33207,0.11973,0.08884,Sub-Saharan Africa,2015,South Africa,1.46156,1.28345
4.633,0.54558,0.67954,0.40132,0.42342,0.23087,0.04355,Sub-Saharan Africa,2015,Ghana,1.08086,1.15632
4.61,0.271,1.03276,0.33475,0.25861,0.18987,0.08079,Sub-Saharan Africa,2015,Zimbabwe,1.3675099999999998,0.63869
4.571,0.0712,0.78968,0.34201,0.28531,0.24362,0.06232,Sub-Saharan Africa,2015,Liberia,1.13169,0.53781
4.565,0.64499,0.38174,0.51529,0.39786,0.26475,0.08492,Southern Asia,2015,India,0.89703,1.22268
4.55,0.52107,1.01404,0.36878,0.10081,0.19062,0.1466,Sub-Saharan Africa,2015,Sudan,1.3828200000000002,0.6658999999999999
4.518,0.26673,0.74302,0.38847,0.24425,0.46187,0.17175,Latin America and Caribbean,2015,Haiti,1.1314899999999999,0.8010999999999999
4.517,0.0,1.0012,0.09806,0.22605,0.24834,0.07625,Sub-Saharan Africa,2015,Congo (Kinshasa),1.0992600000000001,0.39814
4.514,0.35997,0.86449,0.56874,0.38282,0.32296,0.05907,Southern Asia,2015,Nepal,1.43323,1.00668
4.512,0.19073,0.60406,0.44055,0.4345,0.24325,0.15048,Sub-Saharan Africa,2015,Ethiopia,1.04461,0.718
4.507,0.33024,0.95571,0.0,0.4084,0.21488,0.08786,Sub-Saharan Africa,2015,Sierra Leone,0.95571,0.8656599999999999
4.436,0.45407,0.86908,0.35874,0.24232,0.219,0.17461,Sub-Saharan Africa,2015,Mauritania,1.22782,0.74078
4.419,0.36471,0.99876,0.41435,0.42215,0.37542,0.05839,Sub-Saharan Africa,2015,Kenya,1.41311,1.10389
4.369,0.44025,0.59207,0.36291,0.46074,0.18093,0.28105,Sub-Saharan Africa,2015,Djibouti,0.9549799999999999,0.80087
4.35,0.76821,0.77711,0.7299,0.19847,0.07855,0.039,Central and Eastern Europe,2015,Armenia,1.50701,1.00623
4.332,0.99355,1.10464,0.04776,0.49495,0.10461,0.12474,Sub-Saharan Africa,2015,Botswana,1.1524,1.4683700000000002
4.307,0.27108,0.70905,0.48246,0.44017,0.79588,0.19034,Southeastern Asia,2015,Myanmar,1.19151,1.3167900000000001
4.297,0.7419,0.38562,0.72926,0.40577,0.05547,0.38331,Central and Eastern Europe,2015,Georgia,1.11488,0.8198299999999998
4.292,0.01604,0.41134,0.22562,0.43054,0.33128,0.06977,Sub-Saharan Africa,2015,Malawi,0.63696,0.70809
4.271,0.83524,1.01905,0.70806,0.53726,0.40828,0.09179,Southern Asia,2015,Sri Lanka,1.7271100000000001,1.68899
4.252,0.4225,0.88767,0.23402,0.49309,0.20618,0.05786,Sub-Saharan Africa,2015,Cameroon,1.12169,1.06391
4.218,1.01216,1.10614,0.76649,0.30587,0.11921,0.00872,Central and Eastern Europe,2015,Bulgaria,1.87263,1.4285199999999998
4.194,0.8818,0.747,0.61712,0.17288,0.11291,0.06324,Middle East and Northern Africa,2015,Egypt,1.36412,1.1043500000000002
4.077,0.54649,0.68093,0.40064,0.35571,0.09131,0.07854,Middle East and Northern Africa,2015,Yemen,1.0815700000000001,0.9149700000000001
4.033,0.75778,0.8604,0.16683,0.10384,0.12344,0.07122,Sub-Saharan Africa,2015,Angola,1.02723,0.91384
3.995,0.26074,1.03526,0.20583,0.38857,0.18798,0.12352,Sub-Saharan Africa,2015,Mali,1.24109,0.7137700000000001
3.989,0.67866,0.6629,0.31051,0.41466,0.12388,0.11686,Sub-Saharan Africa,2015,Congo (Brazzaville),0.9734100000000001,1.10034
3.956,0.23906,0.79273,0.36315,0.22917,0.17441,0.199,Sub-Saharan Africa,2015,Comoros,1.15588,0.4436400000000001
3.931,0.21102,1.13299,0.33861,0.45727,0.29066,0.07267,Sub-Saharan Africa,2015,Uganda,1.4716,0.88628
3.904,0.36498,0.97619,0.4354,0.36772,0.20843,0.10713,Sub-Saharan Africa,2015,Senegal,1.41159,0.8340000000000001
3.896,1.06024,0.90528,0.43372,0.31914,0.06822,0.11091,Sub-Saharan Africa,2015,Gabon,1.339,1.33669
3.845,0.0694,0.77265,0.29707,0.47692,0.19387,0.15639,Sub-Saharan Africa,2015,Niger,1.06972,0.5838
3.819,0.46038,0.62736,0.61114,0.66246,0.40359,0.07247,Southeastern Asia,2015,Cambodia,1.2385000000000002,1.45396
3.781,0.2852,1.00268,0.38215,0.32878,0.34377,0.05747,Sub-Saharan Africa,2015,Tanzania,1.38483,0.90028
3.681,0.20824,0.66801,0.46721,0.19184,0.21333,0.08124,Sub-Saharan Africa,2015,Madagascar,1.13522,0.53217
3.678,0.0785,0.0,0.06699,0.48879,0.23835,0.08289,Sub-Saharan Africa,2015,Central African Republic,0.06699,0.7227499999999999
3.667,0.34193,0.76062,0.1501,0.23501,0.18386,0.05269,Sub-Saharan Africa,2015,Chad,0.91072,0.70811
3.656,0.17417,0.46475,0.24009,0.37725,0.28657,0.12139,Sub-Saharan Africa,2015,Guinea,0.70484,0.7166
3.655,0.46534,0.77115,0.15185,0.46866,0.20165,0.17922,Sub-Saharan Africa,2015,Ivory Coast,0.923,0.9564300000000001
3.587,0.25812,0.85188,0.27125,0.39493,0.21747,0.12832,Sub-Saharan Africa,2015,Burkina Faso,1.12313,0.7422
3.575,0.31982,0.30285,0.30335,0.23414,0.3651,0.09719,Southern Asia,2015,Afghanistan,0.6062000000000001,0.82187
3.465,0.22208,0.7737,0.42864,0.59201,0.22628,0.55191,Sub-Saharan Africa,2015,Rwanda,1.20234,0.48846
